Job Title,Rating,Average Salary,State
analyst,3.7,111.5,IL
data scientist,5.0,111.5,IL
other,3.7,111.5,IL
machine learning engineer,2.7,111.5,IL
analyst,3.9,111.5,IL
data scientist,4.2,111.5,IL
data engineer,4.1,111.5,IL
data engineer,3.7,111.5,IL
analyst,4.0,111.5,IL
analyst,3.7,111.5,IL
analyst,4.5,111.5,IL
data scientist,3.3,111.5,IL
data engineer,4.0,111.5,IL
machine learning engineer,3.3,85.5,IL
machine learning engineer,3.3,85.5,IL
data engineer,3.6,85.5,IL
data engineer,3.1,85.5,IL
analyst,5.0,85.5,IL
machine learning engineer,3.2,85.5,IL
other,3.3,85.5,IL
analyst,3.9,85.5,IL
data engineer,3.8,85.5,IL
analyst,3.4,85.5,IL
data engineer,3.0,85.5,IL
data engineer,3.5,85.5,IL
data scientist,4.1,85.5,IL
data engineer,4.6,85.5,IL
other,3.1,85.5,IL
data engineer,4.1,85.5,IL
analyst,3.1,85.5,IL
other,3.7,85.5,IL
data scientist,3.6,85.5,IL
data scientist,4.6,85.5,IL
data scientist,3.3,85.5,IL
data engineer,3.2,85.5,IL
data engineer,4.2,85.5,IL
analyst,4.2,85.5,IL
data engineer,4.0,85.5,IL
data scientist,2.9,85.5,IL
data scientist,3.4,85.5,IL
data engineer,4.0,96.5,IL
other,3.7,96.5,IL
other,3.6,96.5,IL
data engineer,3.7,96.5,IL
other,3.6,96.5,IL
other,4.0,96.5,IL
data engineer,4.7,96.5,IL
data scientist,2.9,96.5,IL
data engineer,3.3,96.5,IL
researcher,4.2,96.5,IL
data scientist,2.9,96.5,IL
manager,3.4,96.5,IL
data engineer,3.5,96.5,IL
analyst,2.9,56.5,IL
other,3.4,56.5,IL
data engineer,3.7,56.5,IL
analyst,3.2,56.5,IL
manager,4.5,56.5,IL
data scientist,3.8,56.5,IL
data engineer,3.3,56.5,IL
data engineer,3.2,56.5,IL
other,3.7,56.5,IL
manager,2.6,56.5,IL
data engineer,3.9,56.5,IL
analyst,4.6,56.5,IL
data scientist,2.2,56.5,IL
deep learning engineer,3.2,56.5,IL
other,3.6,56.5,IL
data engineer,3.7,56.5,IL
other,3.7,56.5,IL
researcher,3.9,56.5,IL
analyst,4.3,48.5,IL
other,3.7,48.5,IL
other,2.9,48.5,IL
other,4.6,48.5,IL
other,3.4,48.5,IL
analyst,3.5,48.5,IL
manager,3.5,48.5,IL
analyst,2.5,48.5,IL
analyst,4.1,48.5,IL
analyst,3.6,48.5,IL
analyst,4.1,48.5,IL
other,3.7,48.5,IL
manager,3.8,48.5,IL
analyst,3.2,48.5,IL
manager,3.9,48.5,IL
analyst,3.9,48.5,IL
analyst,3.5,48.5,IL
data engineer,4.4,48.5,IL
analyst,4.0,48.5,IL
other,4.1,48.5,IL
machine learning engineer,2.7,82.5,IL
analyst,4.7,82.5,IL
data engineer,3.6,82.5,IL
data engineer,3.1,82.5,IL
other,3.6,82.5,IL
other,3.2,82.5,IL
analyst,3.7,82.5,IL
other,3.2,82.5,IL
data engineer,5.0,82.5,IL
manager,4.6,82.5,IL
other,3.9,82.5,IL
other,3.9,82.5,IL
other,3.9,82.5,IL
data engineer,3.1,82.5,IL
other,3.9,82.5,IL
analyst,3.2,82.5,IL
other,3.2,82.5,IL
data scientist,4.2,82.5,IL
data scientist,3.6,82.5,IL
analyst,3.7,82.5,IL
